dataset,n_rows,sign_flip_count_c_gross_vs_c_net_output,sign_flip_count_c_gross_vs_c_net_total,sign_flip_rate_c_gross_vs_c_net_output,sign_flip_rate_c_gross_vs_c_net_total
stageb,267,99,177,0.3707865168539326,0.6629213483146067
combo,212,81,138,0.38207547169811323,0.6509433962264151
