dataset,du_sign_flip_gross_vs_net_count,du_sign_flip_gross_vs_net_rate,n_calibration,n_rows,n_test,profile,tau_gross_q20,tau_net_q20,wc,wq
stageb,48,0.1797752808988764,178,267,89,q80_c20,0.012309251452547108,0.011840310976472191,0.2,0.8
stageb,40,0.149812734082397,178,267,89,q50_c50,0.014282432042558305,0.013774560731055808,0.5,0.5
stageb,24,0.0898876404494382,178,267,89,q20_c80,0.04087411553766372,0.033490377705239105,0.8,0.2
combo,0,0.0,143,212,69,q80_c20,0.08365620927218438,0.08101344036022581,0.2,0.8
combo,23,0.10849056603773585,143,212,69,q50_c50,0.04310347800560268,0.03940955973539943,0.5,0.5
combo,31,0.14622641509433962,143,212,69,q20_c80,0.002550746739020976,0.02245417457720765,0.8,0.2
