dataset,du_sign_flip_gross_vs_net_count,du_sign_flip_gross_vs_net_rate,n_calibration,n_rows,n_test,profile,tau_gross_q20,tau_net_q20,test_coverage_rate_gross,test_coverage_rate_net,test_disagree_rate_all_gross,test_disagree_rate_all_net,test_disagree_rate_covered_gross,test_disagree_rate_covered_net,test_tie_rate_gross,test_tie_rate_net,wc,wq
stageb,48,0.1797752808988764,178,267,89,q80_c20,0.012309251452547108,0.011840310976472191,0.5730337078651685,0.7415730337078652,0.0898876404494382,0.14606741573033707,0.1568627450980392,0.19696969696969696,0.42696629213483145,0.25842696629213485,0.2,0.8
stageb,40,0.149812734082397,178,267,89,q50_c50,0.014282432042558305,0.013774560731055808,0.5280898876404494,0.8426966292134831,0.06741573033707865,0.1797752808988764,0.1276595744680851,0.21333333333333335,0.47191011235955055,0.15730337078651685,0.5,0.5
stageb,24,0.0898876404494382,178,267,89,q20_c80,0.04087411553766372,0.033490377705239105,0.5168539325842697,0.8089887640449438,0.06741573033707865,0.11235955056179775,0.13043478260869565,0.1388888888888889,0.48314606741573035,0.19101123595505617,0.8,0.2
combo,0,0.0,143,212,69,q80_c20,0.08365620927218438,0.08101344036022581,0.4782608695652174,0.7101449275362319,0.028985507246376812,0.028985507246376812,0.06060606060606061,0.04081632653061224,0.5217391304347826,0.2898550724637681,0.2,0.8
combo,23,0.10849056603773585,143,212,69,q50_c50,0.04310347800560268,0.03940955973539943,0.4782608695652174,0.7536231884057971,0.028985507246376812,0.028985507246376812,0.06060606060606061,0.038461538461538464,0.5217391304347826,0.2463768115942029,0.5,0.5
combo,31,0.14622641509433962,143,212,69,q20_c80,0.002550746739020976,0.02245417457720765,0.6376811594202898,0.7536231884057971,0.07246376811594203,0.043478260869565216,0.11363636363636363,0.057692307692307696,0.36231884057971014,0.2463768115942029,0.8,0.2
